LED, Light, LinearMapping
0, 18, 3
1, 96, 28
2, 152, 46
3, 195, 60
4, 228, 71
5, 256, 80
6, 281, 88
7, 302, 95
8, 321, 101
9, 338, 107
10, 356, 113
11, 371, 118
12, 385, 122
13, 397, 126
14, 409, 130
15, 420, 134
16, 430, 137
17, 440, 140
18, 449, 143
19, 457, 146
20, 465, 148
21, 473, 151
22, 480, 153
23, 487, 155
24, 494, 158
25, 500, 160
26, 506, 161
27, 512, 163
28, 518, 165
29, 523, 167
30, 528, 169
31, 533, 170
32, 538, 172
33, 543, 174
34, 547, 175
35, 552, 176
36, 556, 178
37, 560, 179
38, 563, 180
39, 568, 182
40, 571, 183
41, 576, 184
42, 580, 186
43, 584, 187
44, 589, 188
45, 593, 190
46, 598, 191
47, 602, 193
48, 606, 194
49, 609, 195
50, 612, 196
51, 615, 197
52, 618, 198
53, 620, 199
54, 622, 199
55, 625, 200
56, 627, 201
57, 629, 201
58, 631, 202
59, 633, 203
60, 635, 203
61, 637, 204
62, 639, 205
63, 641, 205
64, 643, 206
65, 645, 207
66, 647, 207
67, 649, 208
68, 651, 209
69, 652, 209
70, 654, 210
71, 656, 210
72, 657, 211
73, 659, 211
74, 661, 212
75, 663, 213
76, 665, 213
77, 667, 214
78, 669, 214
79, 672, 215
80, 674, 216
81, 677, 217
82, 679, 218
83, 682, 219
84, 683, 219
85, 686, 220
86, 687, 220
87, 689, 221
88, 691, 222
89, 692, 222
90, 693, 222
91, 695, 223
92, 695, 223
93, 697, 224
94, 698, 224
95, 698, 224
96, 699, 224
97, 700, 225
98, 701, 225
99, 703, 226
100, 703, 226
101, 704, 226
102, 705, 226
103, 706, 227
104, 706, 227
105, 707, 227
106, 708, 227
107, 710, 228
108, 713, 229
109, 715, 229
110, 717, 230
111, 719, 231
112, 720, 231
113, 722, 232
114, 723, 232
115, 724, 232
116, 724, 232
117, 724, 232
118, 725, 233
119, 725, 233
120, 726, 233
121, 726, 233
122, 727, 233
123, 727, 233
124, 728, 234
125, 729, 234
126, 730, 234
127, 732, 235
128, 734, 236
129, 736, 236
130, 737, 237
131, 739, 237
132, 740, 238
133, 741, 238
134, 742, 238
135, 742, 238
136, 743, 239
137, 743, 239
138, 743, 239
139, 743, 239
140, 743, 239
141, 744, 239
142, 744, 239
143, 745, 239
144, 746, 240
145, 747, 240
146, 749, 241
147, 750, 241
148, 752, 241
149, 753, 242
150, 754, 242
151, 755, 242
152, 755, 242
153, 756, 243
154, 757, 243
155, 758, 243
156, 758, 243
157, 758, 243
158, 758, 243
159, 758, 243
160, 758, 243
161, 759, 244
162, 759, 244
163, 760, 244
164, 761, 244
165, 762, 245
166, 764, 245
167, 765, 246
168, 766, 246
169, 767, 246
170, 767, 246
171, 768, 247
172, 769, 247
173, 770, 247
174, 770, 247
175, 771, 248
176, 771, 248
177, 771, 248
178, 771, 248
179, 771, 248
180, 771, 248
181, 771, 248
182, 772, 248
183, 773, 248
184, 774, 249
185, 775, 249
186, 776, 249
187, 777, 250
188, 778, 250
189, 778, 250
190, 779, 250
191, 780, 251
192, 780, 251
193, 781, 251
194, 781, 251
195, 782, 251
196, 782, 251
197, 782, 251
198, 782, 251
199, 782, 251
200, 782, 251
201, 783, 252
202, 783, 252
203, 784, 252
204, 785, 252
205, 786, 253
206, 787, 253
207, 787, 253
208, 788, 253
209, 788, 253
210, 789, 254
211, 789, 254
212, 790, 254
213, 790, 254
214, 791, 254
215, 791, 254
216, 792, 255
217, 792, 255
218, 792, 255
219, 792, 255
220, 792, 255
221, 792, 255
222, 793, 255
223, 794, 255
224, 795, 255
225, 795, 255
226, 796, 255
227, 796, 255
228, 796, 255
229, 797, 255
230, 797, 255
231, 798, 255
232, 798, 255
233, 799, 255
234, 799, 255
235, 799, 255
236, 800, 255
237, 800, 255
238, 800, 255
239, 800, 255
240, 801, 255
241, 801, 255
242, 802, 255
243, 802, 255
244, 803, 255
245, 803, 255
246, 803, 255
247, 804, 255
248, 804, 255
249, 804, 255
250, 805, 255
251, 805, 255
252, 806, 255
253, 806, 255
254, 806, 255
255, 806, 255
